year,certificate,movielist
I 2010,R,The Final
2005,R,2001 Maniacs
1989,R,DeepStar Six
1995,R,The Scarlet Letter
2011,R,The Resident
2016,PG-13,Incarnate
1999,PG-13,Teaching Mrs. Tingle
2018,PG,A-X-L
2009,PG-13,The New Daughter
2007,PG-13,The Messengers
2013,PG,The Smurfs 2
2009,PG-13,Post Grad
2007,PG-13,Blood and Chocolate
2000,PG-13,Ready to Rumble
1999,R,Random Hearts
I 2000,R,The Watcher
I 2009,PG,Old Dogs
2014,PG,Moms' Night Out
2017,TV-14,Fullmetal Alchemist
2003,PG-13,View from the Top
1989,PG-13,Pink Cadillac
2015,R,By the Sea
2013,Not Rated,Contracted
2014,R,A Good Marriage
2020,TV-14,Dangerous Lies
1996,PG,Flipper
2016,R,USS Indianapolis: Men of Courage
2006,PG-13,Madea's Family Reunion
1994,PG,My Girl 2
2014,R,[REC] 4: Apocalypse
I 2004,R,Twisted
1996,PG,Dunston Checks In
2016,R,The Other Side of the Door
2018,PG-13,The 15:17 to Paris
2003,G,The Jungle Book 2
2011,PG-13,The Dilemma
2001,R,Tomcats
I 2016,PG,Nine Lives
2013,R,The Haunting in Connecticut 2: Ghosts of Georgia
2013,Not Rated,Krrish 3
2016,R,Misconduct
2009,R,Blood Creek
2002,R,Slackers
2005,R,The Dark
2012,Not Rated,AstÃ©rix and ObÃ©lix: God Save Britannia
1952,Not Rated,Fear and Desire
2015,R,Demonic
I 2022,Not Rated,Raksha Bandhan
2002,PG-13,Serving Sara
2017,Not Rated,Once Upon a Time in Venice
II 2015,R,Visions
2009,R,Universal Soldier: Regeneration
2006,PG,Unaccompanied Minors
2005,R,Santa's Slay
2015,R,Into the Grizzly Maze
2004,PG-13,Little Black Book
2004,PG-13,Welcome to Mooseport
2022,Not Rated,Radhe Shyam
2008,R,Bangkok Dangerous
2005,R,House of 9
2015,R,Blackway
2007,R,The Brothers Solomon
2000,R,Woman on Top
2013,Not Rated,Race 2
2022,Not Rated,Ram Setu
2019,TV-MA,See You Yesterday
2001,R,Replicant
1994,PG,I Love Trouble
2012,R,Tim and Eric's Billion Dollar Movie
2012,Not Rated,Housefull 2
2015,R,Infini
2011,R,Lovely Molly
2010,R,Wrecked
2012,R,Meeting Evil
2018,TV-PG,A Christmas Prince: The Royal Wedding
1996,PG-13,Celtic Pride
2011,R,The Hit List
2022,Not Rated,The Legend
2011,Not Rated,The Way to Paradise
2021,R,Spiral
2020,PG-13,Hubie Halloween
2002,PG,Scooby-Doo
2005,Not Rated,Lie with Me
2021,PG-13,F9: The Fast Saga
1999,R,Romance
1997,PG-13,Spawn
I 2018,PG-13,Truth or Dare
2005,R,Dominion: Prequel to the Exorcist
2017,PG-13,Transformers: The Last Knight
2016,R,The Bad Batch
2022,PG-13,Morbius
2021,R,Resident Evil: Welcome to Raccoon City
2002,R,Queen of the Damned
2016,PG-13,The 5th Wave
2016,PG-13,Independence Day: Resurgence
1991,R,Child's Play 3
2004,PG,Scooby-Doo 2: Monsters Unleashed
II 2021,PG,Tom and Jerry
2008,PG-13,The Mummy: Tomb of the Dragon Emperor
1988,R,Friday the 13th Part VII: The New Blood
2023,R,Magic Mike's Last Dance
2017,PG-13,xXx: Return of Xander Cage
2003,PG-13,Malibu's Most Wanted
2018,R,The Strangers: Prey at Night
2007,PG,Alvin and the Chipmunks
2017,Not Rated,12 Feet Deep
2012,R,The Lords of Salem
I 2020,PG-13,Monster Hunter
1995,PG,Mighty Morphin Power Rangers
1998,PG-13,Lost in Space
2022,Not Rated,Poker Face
1994,R,Color of Night
2017,PG-13,Flatliners
1974,Unrated,Emmanuelle
2005,R,Doom
2002,R,The Sweetest Thing
2013,R,A Good Day to Die Hard
2018,R,The Possession of Hannah Grace
2012,PG-13,Alex Cross
2018,R,The First Purge
2015,PG-13,The Transporter Refueled
2021,R,Paranormal Activity: Next of Kin
2000,PG-13,Big Momma's House
2017,R,Rough Night
2021,R,SAS: Red Notice
2011,PG,Zookeeper
2019,TV-PG,Tall Girl
2004,R,Riding the Bullet
2022,TV-PG,Falling for Christmas
2017,R,Inconceivable
1999,PG-13,Superstar
1997,PG,Jungle 2 Jungle
2011,PG-13,Apollo 18
1999,PG-13,Simply Irresistible
1985,PG-13,King Solomon's Mines
2015,PG-13,The Lazarus Effect
2014,R,Exists
1994,R,Bad Girls
2019,TV-14,Paradise Hills
2001,PG-13,Pootie Tang
1999,R,Cherry Falls
2006,PG-13,My Super Ex-Girlfriend
2012,Not Rated,Student of the Year
2016,R,Get a Job
2018,TV-14,The Week Of
2003,PG-13,The Medallion
III 2018,Not Rated,Zero
2011,R,Silent House
II 2017,R,Hangman
2006,G,The Wild
2008,R,Donkey Punch
1995,R,Candyman: Farewell to the Flesh
1994,R,Ready to Wear
2020,TV-MA,Cadaver
2008,Not Rated,Asterix at the Olympic Games
2019,R,We Summon the Darkness
2019,TV-14,Rim of the World
2017,R,The Super
2002,PG,Clockstoppers
2016,R,Friend Request
2008,PG-13,My Mom's New Boyfriend
2018,PG,Sherlock Gnomes
1980,PG,Smokey and the Bandit II
2006,R,Open Water 2: Adrift
2009,R,The Thaw
2017,TV-14,Sandy Wexler
2022,TV-PG,The Royal Treatment
2002,PG,Snow Dogs
2018,TV-MA,Ibiza
2008,R,Strange Wilderness
I 2014,R,The Bag Man
2000,R,The Ladies Man
2020,TV-MA,Desperados
2005,PG,Racing Stripes
2015,Not Rated,Pay the Ghost
2004,R,Renegade
I 2011,R,The Day
2018,TV-14,Father of the Year
2004,PG,Catch That Kid
2008,R,Mutant Chronicles
1996,PG,First Kid
2011,R,Quarantine 2: Terminal
2007,PG-13,License to Wed
2013,R,Empire State
2016,R,The Late Bloomer
2006,R,Freedomland
2017,R,Voice from the Stone
2017,TV-MA,Bushwick
2007,PG-13,Mr. Woodcock
2009,PG,Arthur and the Revenge of Maltazard
2013,PG,Walking with Dinosaurs 3D
1997,PG-13,Fathers' Day
2008,PG-13,Over Her Dead Body
2013,R,Rapture-Palooza
2020,TV-MA,Coffee & Kareem
1996,PG-13,Eddie
2017,Not Rated,Kung Fu Yoga
2022,13+,Phone Bhoot
2017,Not Rated,Vivegam
2019,Not Rated,Exit 0
2023,Not Rated,Kabzaa
2014,Not Rated,Heropanti
2023,PG-13,Meg 2: The Trench
2003,PG,The Haunted Mansion
1982,R,Halloween III: Season of the Witch
2004,R,Exorcist: The Beginning
2014,R,Sex Tape
2022,PG-13,Moonfall
2009,R,The Final Destination
2010,PG-13,The Twilight Saga: Eclipse
2013,Unrated,All Hallows' Eve
2006,PG-13,Scary Movie 4
2005,PG-13,The Dukes of Hazzard
2016,R,31
2018,Not Rated,10x10
1991,PG-13,Nothing But Trouble
2017,R,The Snowman
1981,Not Rated,Cannibal Ferox
2006,PG-13,When a Stranger Calls
2006,PG,Eragon
2005,PG-13,The Cave
2014,PG-13,"I, Frankenstein"
1991,PG-13,Return to the Blue Lagoon
1985,PG-13,Red Sonja
I 2015,Not Rated,Return to Sender
2004,PG,First Daughter
2008,PG-13,"10,000 BC"
2015,Unrated,I Spit on Your Grave: Vengeance Is Mine
1993,R,Sliver
2009,R,Vampire Killers
2022,R,Me Time
2021,PG-13,The Unholy
2006,R,The Breed
2012,PG,The Three Stooges
1989,R,The Fly II
2007,R,The Hills Have Eyes 2
2009,R,Sorority Row
1997,R,An American Werewolf in Paris
2015,PG-13,Hot Pursuit
1992,PG-13,Toys
2021,R,In the Earth
2004,NC-17,A Dirty Shame
2017,PG-13,Wish Upon
2014,Not Rated,The Houses October Built
1990,PG,The NeverEnding Story II: The Next Chapter
2014,R,Everly
I 2011,PG-13,Abduction
2005,PG-13,Miss Congeniality 2: Armed & Fabulous
2005,PG-13,Stealth
2003,PG,Agent Cody Banks
II 2017,R,Unforgettable
2017,R,Bleeding Steel
2001,PG,Cats & Dogs
I 2019,PG-13,Polaroid
2012,R,Cosmopolis
2009,PG,G-Force
1980,R,Saturn 3
2018,PG-13,The Hurricane Heist
2002,PG-13,Swimfan
2006,PG,Stormbreaker
2021,Not Rated,Chernobyl: Abyss
1999,PG,My Favorite Martian
I 2019,PG,Playing with Fire
2001,PG-13,Summer Catch
2012,Not Rated,Grave Encounters 2
1987,PG-13,Revenge of the Nerds II: Nerds in Paradise
2012,R,Universal Soldier: Day of Reckoning
2000,PG,Snow Day
2008,PG,Meet Dave
2016,R,Don't Knock Twice
2013,Not Rated,Willow Creek
2000,R,Bless the Child
1997,R,Fire Down Below
2018,R,Action Point
2010,PG,Alpha and Omega
2010,R,And Soon the Darkness
2016,Not Rated,Holidays
2014,PG-13,The Quiet Ones
2017,Not Rated,Jab Harry Met Sejal
2003,R,The Order
1995,PG,Free Willy 2: The Adventure Home
2014,Not Rated,Open Windows
1993,PG-13,Made in America
2011,R,Husk
2005,Unrated,Reeker
2011,R,The Son of No One
2010,PG-13,Dylan Dog: Dead of Night
2002,PG-13,Stealing Harvard
2000,R,Lucky Numbers
2005,PG,Rebound
I 2015,R,The D Train
1999,R,Desert Heat
2022,Not Rated,Bachchhan Paandey
2020,TV-MA,Torbaaz
I 2013,Not Rated,Boss
2010,NC-17,A Serbian Film
2022,R,Halloween Ends
2020,R,After We Collided
1995,NC-17,Showgirls
2017,R,Leatherface
1983,PG,Superman III
1994,PG,The Flintstones
1996,PG,The Phantom
I 2014,R,Addicted
1989,R,A Nightmare on Elm Street: The Dream Child
2008,R,The Happening
2005,PG-13,Cursed
2013,R,A Haunted House
2020,R,Shadow in the Cloud
2004,PG,Garfield
1990,R,Leatherface: Texas Chainsaw Massacre III
2018,TV-MA,How It Ends
2016,R,Blair Witch
2019,PG-13,47 Meters Down: Uncaged
2009,PG-13,Obsessed
2012,R,Chernobyl Diaries
2006,PG-13,Stay Alive
1989,R,Cyborg
2003,R,Cold Creek Manor
2015,R,Hot Tub Time Machine 2
1993,PG,The Beverly Hillbillies
1996,R,Hellraiser: Bloodline
2006,PG-13,The Grudge 2
1984,PG,Cannonball Run II
2015,Not Rated,Attack on Titan Part 1
2017,R,First Kill
I 2010,PG,Tooth Fairy
1999,R,Virus
2006,R,See No Evil
2014,R,Paranormal Activity: The Marked Ones
2014,R,American Heist
2019,Not Rated,Iron Sky: The Coming Race
2005,PG-13,An American Haunting
2014,Not Rated,Extraterrestrial
2006,PG,Deck the Halls
2006,PG,Garfield: A Tail of Two Kitties
1999,PG-13,The Bachelor
2005,R,Tamara
2007,R,Mother of Tears
2014,Not Rated,Rage
2009,R,Miss March
2012,R,[REC] 3: Genesis
2012,PG-13,So Undercover
2008,R,Hell Ride
2018,PG-13,Down a Dark Hall
1983,R,Porky's II: The Next Day
2011,PG-13,I Don't Know How She Does It
2015,Not Rated,Dilwale
2000,PG-13,Down to You
I 2010,PG-13,Lottery Ticket
2001,R,Say It Isn't So
1994,PG-13,Blankman
1999,R,Eye of the Beholder
2013,R,Magic Magic
2018,R,Proud Mary
2010,PG-13,The Romantics
2010,PG,Open Season 3
1996,PG-13,The Pallbearer
2019,Not Rated,Saaho
2011,R,Elephant White
2011,R,Apartment 143
2013,Not Rated,The Human Race
2014,Not Rated,Jai Ho
2022,Not Rated,Skinamarink
I 2015,R,Knock Knock
1989,R,Halloween 5: The Revenge of Michael Myers
I 2005,TV-MA,Survival Island
2011,PG-13,The Twilight Saga: Breaking Dawn - Part 1
1997,PG-13,Anaconda
2000,R,Dracula 2000
2004,R,Seed of Chucky
1999,PG-13,Wild Wild West
1992,R,Pet Sematary II
2003,Not Rated,The Brown Bunny
2021,TV-MA,There's Someone Inside Your House
2020,PG-13,Fantasy Island
2012,R,Silent Hill: Revelation
2011,PG-13,The Darkest Hour
III 2021,TV-MA,Awake
2001,R,Ghosts of Mars
2001,R,Valentine
2003,PG-13,Darkness Falls
2010,PG,Gulliver's Travels
2015,PG,Alvin and the Chipmunks: The Road Chip
2003,PG-13,Charlie's Angels: Full Throttle
1990,R,Graveyard Shift
2008,R,Amusement
2020,Not Rated,2067
2005,G,Herbie Fully Loaded
1992,PG,"Honey, I Blew Up the Kid"
2020,TV-MA,Nobody Sleeps in the Woods Tonight
2009,PG-13,Year One
2008,G,High School Musical 3: Senior Year
2014,R,Tammy
2012,PG-13,The Cold Light of Day
1987,PG,Police Academy 4: Citizens on Patrol
2008,R,The Informers
2000,R,The Crow: Salvation
2021,R,Mother/Android
1998,PG-13,Blues Brothers 2000
2013,PG-13,Temptation: Confessions of a Marriage Counselor
I 2004,PG,New York Minute
2019,R,Primal
2002,R,Boat Trip
1993,PG,Beethoven's 2nd
2010,R,Vanishing on 7th Street
I 2020,R,Downhill
I 2013,Not Rated,Welcome to the Jungle
2001,PG-13,Black Knight
1994,PG,In the Army Now
2009,PG-13,Did You Hear About the Morgans?
I 2017,Not Rated,The Vault
2016,Not Rated,Kickboxer: Vengeance
1997,R,Turbulence
I 2014,Not Rated,Happy New Year
1998,PG,Holy Man
2010,R,Ong Bak 3
2004,PG-13,The Big Bounce
2012,PG-13,Madea's Witness Protection
2007,R,Rise: Blood Hunter
2003,PG-13,Le divorce
2007,R,The Ten
2019,Not Rated,Awoken
2018,Not Rated,The Isle
1975,Not Rated,The Chaos Class
2016,Not Rated,Mirror Game
2022,Not Rated,Daman
2021,Not Rated,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc
1975,Not Rated,The Chaos Class Failed the Class
1966,Approved,"The Good, the Bad and the Ugly"
1993,Not Rated,Manichithrathazhu
2020,Not Rated,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc
1984,Not Rated,Balkan Spy
1980,Not Rated,Who's Singin' Over There?
1977,Not Rated,"Saban, Son of Saban"
1977,Not Rated,The Chaos Class Is Waking Up
1997,UA,The Lost World: Jurassic Park
2021,A,Titane
1999,R,Varsity Blues
2020,A,The Night House
1999,A,Double Jeopardy
2013,A,Insidious: Chapter 2
1997,U,Tomorrow Never Dies
2005,U,The Sisterhood of the Traveling Pants
1998,U,Can't Hardly Wait
2016,UA,The Secret Life of Pets
2018,A,Peppermint
2017,Not Rated,Aterrados
2013,13,Don Jon
2023,A,Blood & Gold
2018,18,Set It Up
1990,Not Rated,Nightbreed
1995,A,The Quick and the Dead
1990,U,Cry-Baby
2018,A,12 Strong
I 2016,UA,The Choice
1978,A,Pretty Baby
2019,18,Triple Frontier
II 2020,Not Rated,Host
1996,U,Space Jam
2013,A,Kick-Ass 2
1980,U,Flash Gordon
2020,R,Ammonite
2011,A,The Hangover Part II
1993,U,Last Action Hero
I 2022,UA,Dog
II 2014,UA,The Interview
1992,PG,The Mighty Ducks
2022,U,Minions: The Rise of Gru
II 2015,U,Home
1992,U,Sister Act
2008,A,Zack and Miri Make a Porno
1992,A,Under Siege
2022,R,"Confess, Fletch"
2000,UA,The Perfect Storm
2000,UA,Space Cowboys
2004,UA,Secret Window
I 2017,Not Rated,The Endless
2009,UA,Terminator Salvation
2006,U,Step Up
2005,PG-13,The Skeleton Key
1993,R,The Program
I 2020,R,Black Bear
2020,PG-13,Eurovision Song Contest: The Story of Fire Saga
1981,A,The Howling
1993,A,Cliffhanger
2020,16,His House
2001,R,Kairo
2020,A,Bad Boys for Life
I 2016,UA,Nerve
2013,A,Olympus Has Fallen
2009,A,It's Complicated
2019,PG-13,A Rainy Day in New York
1991,U,The Rocketeer
2014,A,A Walk Among the Tombstones
2015,R,Entourage
2022,Not Rated,Father Stu
2018,A,White Boy Rick
2008,16,Never Back Down
2008,U,The Spiderwick Chronicles
2021,Not Rated,Rang zong
1992,U,FernGully: The Last Rainforest
1995,U,Dangerous Minds
2001,R,Wet Hot American Summer
1983,UA,Octopussy
1980,A,Cruising
1989,A,Society
I 2018,A,Tag
2001,A,Swordfish
I 2003,A,Out of Time
2005,U,Hoodwinked!
1998,U,Antz
1987,U,The Secret of My Succe$s
1996,R,Stealing Beauty
2008,UA,Get Smart
2022,A,My Policeman
2022,R,Armageddon Time
2009,A,Underworld: Rise of the Lycans
II 2020,R,Spontaneous
1971,U,Diamonds Are Forever
1998,A,U.S. Marshals
1991,U,Dutch
2019,UA,Last Christmas
1976,U,Robin and Marian
I 2018,PG-13,Ophelia
2003,R,Wonderland
I 2003,R,Dead End
1996,R,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
1987,A,Beverly Hills Cop II
1993,UA,So I Married an Axe Murderer
2018,16,City of Lies
I 2019,R,Swallow
2012,U,Ice Age: Continental Drift
2022,A,KÃ¦rlighed for voksne
2010,UA,Due Date
II 2016,R,Better Watch Out
1994,U,The Santa Clause
1997,U,Mouse Hunt
2008,A,Harold & Kumar Escape from Guantanamo Bay
2011,A,J. Edgar
2015,R,Sleeping with Other People
1991,Not Rated,Oscar
2018,13,Mowgli
1980,Not Rated,Where the Buffalo Roam
2010,PG-13,Morning Glory
1994,UA,Naked Gun 33 1/3: The Final Insult
2016,Not Rated,Hounds of Love
1982,A,Class of 1984
1983,U,Fire and Ice
2022,A,I Want You Back
1998,R,BASEketball
2010,UA,Life as We Know It
1994,U,The River Wild
2007,U,National Treasure: Book of Secrets
2016,A,Bridget Jones's Baby
2005,A,Hostage
2020,R,Zola
1996,U,Executive Decision
2012,R,Byzantium
1984,Not Rated,Johnny Dangerously
2009,Not Rated,A Perfect Getaway
2021,13,OxygÃ¨ne
I 2014,PG-13,Barefoot
2017,13,"Roman J. Israel, Esq."
2008,Not Rated,Pontypool
2020,PG,The Secret: Dare to Dream
2005,R,Casanova
1995,R,Higher Learning
2017,U,The Current War
2020,R,Four Good Days
2021,UA 13+,Being the Ricardos
2008,U,The Forbidden Kingdom
2006,UA,Last Holiday
1981,Not Rated,Dead & Buried
1982,Not Rated,Night Shift
2016,A,Money Monster
2014,Not Rated,The Duke of Burgundy
2010,R,The Runaways
2009,PG-13,Fanboys
2010,U,Letters to Juliet
1990,Not Rated,House Party
2015,PG-13,Self/less
1987,Not Rated,Bad Taste
2019,PG-13,"Where'd You Go, Bernadette"
1971,Not Rated,Ecologia del delitto
1965,Not Rated,The Greatest Story Ever Told
1984,UA,Purple Rain
I 2003,R,The Missing
2018,PG-13,Dumplin'
1990,A,Young Guns II
1993,A,Malice
1996,R,2 Days in the Valley
1990,Not Rated,Internal Affairs
1974,A,Foxy Brown
2022,13,Against the Ice
1953,U,It Came from Outer Space
2020,PG,I Still Believe
1994,U,Only You
I 2009,A,The International
2001,R,Heist
1972,Not Rated,PÃ¡nico en el Transiberiano
1985,U,Brewster's Millions
2005,R,The Ballad of Jack and Rose
1963,Not Rated,The Raven
2009,R,Paper Man
1976,Not Rated,The Missouri Breaks
2010,Not Rated,Ramona and Beezus
1997,U,Bean
2004,PG-13,Cellular
2007,PG-13,Music and Lyrics
2006,Not Rated,Curious George
I 2021,PG,Memoria
2006,PG-13,Flyboys
2005,UA,In Her Shoes
2020,18,Da 5 Bloods
I 2013,R,Blood Ties
1995,PG-13,Home for the Holidays
2001,PG-13,Bandits
2006,R,Hollywoodland
2016,PG-13,Genius
1984,U,The Cotton Club
1994,PG-13,Nell
1995,R,Total Eclipse
1988,Not Rated,Brain Damage
2012,PG-13,Think Like a Man
2011,R,Take This Waltz
1966,Not Rated,Batman: The Movie
1994,PG-13,PCU
2023,A,Lust Stories 2
2014,R,A Little Chaos
2021,16,Seungriho
2009,A,[Rec]Â²
1996,U,One Fine Day
2014,Not Rated,Time Lapse
2004,R,I Heart Huckabees
1994,UA,When a Man Loves a Woman
1999,A,Bowfinger
2013,PG-13,Yi dai zong shi
2017,Not Rated,Satan's Slaves
2008,R,Blindness
2015,PG,The Second Best Exotic Marigold Hotel
1989,Not Rated,Chances Are
2021,18,Bad Trip
2013,Not Rated,3096 Tage
2010,UA,Hereafter
1986,U,The Big Easy
2002,PG-13,The Four Feathers
2001,PG-13,Riding in Cars with Boys
2017,PG,The Bookshop
2018,R,Beirut
2019,16,Late Night
2014,R,Escobar: Paradise Lost
2012,UA,Premium Rush
2013,Not Rated,Upstream Color
2001,Not Rated,Jisatsu sÃ¢kuru
I 2016,R,Imperium
1968,U,The Love Bug
2020,16,Bulbbul
2006,PG,Facing the Giants
2004,UA,Ladder 49
2014,PG-13,Magic in the Moonlight
1993,PG-13,Geronimo: An American Legend
2005,R,The Notorious Bettie Page
2009,R,The Informant!
2004,PG-13,In Good Company
1991,Not Rated,An American Tail: Fievel Goes West
2016,R,A Family Man
1989,U,The Dream Team
2013,A,Bad Grandpa
I 2011,R,Margaret
2011,PG-13,The Art of Getting By
1984,Not Rated,Moscow on the Hudson
2010,PG,Meek's Cutoff
1995,R,Boys on the Side
1985,U,Jagged Edge
I 1992,PG-13,Hero
2012,Not Rated,Sightseers
1985,U,Subway
2007,R,Feast of Love
1984,U,Falling in Love
2002,R,Changing Lanes
1993,Not Rated,Kika
2004,R,Spartan
1997,R,Dobermann
1991,R,Shattered
1978,Not Rated,Quel maledetto treno blindato
1998,U,Paulie
2006,A,Breaking and Entering
1990,Not Rated,The Freshman
1987,A,The Fourth Protocol
1995,Not Rated,The Pillow Book
2020,A,Malang - Unleash the Madness
2013,Not Rated,L'Ã©cume des jours
2004,R,Head in the Clouds
2004,A,A Good Woman
2001,Not Rated,BijitÃ¢ Q
2006,R,10 Items or Less
2011,R,Enter Nowhere
1999,U,Jakob the Liar
2000,UA,Taxi 2
2011,R,The Ledge
2012,PG,Big Miracle
1990,U,White Hunter Black Heart
I 2017,R,The Hero
2002,PG-13,Hollywood Ending
2017,R,Brad's Status
2001,G,Recess: School's Out
2009,UA,Banlieue 13: Ultimatum
2002,U,Brown Sugar
2007,PG-13,Run Fatboy Run
1999,R,Instinct
2012,R,Den skaldede frisÃ¸r
2015,PG-13,A Royal Night Out
1995,PG-13,Forget Paris
2014,UA,Ek Villain
1996,PG-13,My Fellow Americans
2010,R,Balada triste de trompeta
2021,UA 13+,Atrangi Re
2014,R,Stretch
I 2007,R,Stuck
2006,UA,Dhoom:2
2005,R,Thumbsucker
2012,PG-13,Emperor
2003,R,Le temps du loup
1947,Not Rated,The Paradine Case
2020,PG,Jingle Jangle: A Christmas Journey
2012,Not Rated,Fetih 1453
2009,R,TiMER
2019,PG-13,Justice League vs. the Fatal Five
2014,Not Rated,Ocho apellidos vascos
2003,U,Chalte Chalte
2002,R,The Good Thief
2007,U,December Boys
2009,R,Triage
2002,U,The Powerpuff Girls Movie
2009,Not Rated,KolpaÃ§ino
1987,U,September
2011,R,Terri
2001,R,The Deep End
2013,R,Scenic Route
2008,PG,Chasseurs de dragons
2011,R,Blackthorn
I 2007,PG,Terra
2018,Not Rated,Kaala
2007,Not Rated,Keinohrhasen
2016,Not Rated,La fille inconnue
2019,U,Mission Mangal
2005,Not Rated,Dear Wendy
2022,UA,Etharkkum Thunindhavan
2011,Not Rated,Incir ReÃ§eli
2005,U,Mangal Pandey: The Rising
2019,U,Viswasam
2003,Not Rated,Vizontele Tuuba
II 2023,Not Rated,Nowhere
2023,A,No Hard Feelings
2022,A,M3GAN
2010,A,The Expendables
1996,A,The Craft
I 2022,PG-13,Fall
2023,A,Renfield
2011,UA,Just Go with It
2010,R,Monsters
2019,UA,Star Wars: Episode IX - The Rise of Skywalker
II 2023,R,Nefarious
2015,Not Rated,Hell House LLC
2021,R,Pleasure
2017,A,Alien: Covenant
2001,U,Legally Blonde
1996,UA,Mars Attacks!
1991,A,The People Under the Stairs
2017,UA,Valerian and the City of a Thousand Planets
2002,Not Rated,Star Trek: Nemesis
2001,U,The Princess Diaries
I 2014,A,Lucy
2010,R,Hot Tub Time Machine
2000,R,The Cell
2023,A,Luther: The Fallen Sun
2016,U,Trolls
I 2019,A,Escape Room
2006,PG-13,Stick It
1992,R,AlienÂ³
2006,U,She's the Man
2020,18,I Care a Lot
1994,UA,Wes Craven's New Nightmare
2011,A,Colombiana
2010,UA 13+,She's Out of My League
2020,UA,Greenland
2001,A,The Mummy Returns
2015,PG,Tomorrowland
2019,A,The Goldfinch
I 2022,U,Luck
2002,A,National Lampoon's Van Wilder
2005,U,Robots
2015,UA,Pitch Perfect 2
2021,Not Rated,Ku bei
1985,A,Silver Bullet
2001,18,American Pie 2
2022,A,Luckiest Girl Alive
2019,UA,Angel Has Fallen
I 2019,16,Fractured
2014,PG-13,The Giver
2016,R,A Cure for Wellness
1999,U,Big Daddy
2020,Not Rated,Sputnik
2016,UA,Now You See Me 2
1989,U,"Honey, I Shrunk the Kids"
2006,A,Click
2021,R,No Sudden Move
1993,A,The Good Son
I 2022,PG-13,The Son
2013,UA,The Frozen Ground
2012,U,The Lorax
1999,A,The World Is Not Enough
I 2012,A,Savages
2001,R,Session 9
2012,18,The Dictator
2012,UA,The Woman in Black
2022,R,Bandit
2004,PG-13,Spanglish
1983,UA,Twilight Zone: The Movie
2013,15+,Pain & Gain
1986,U,The Money Pit
I 2015,R,Forsaken
2009,UA,17 Again
2010,UA,Salt
2015,U,Minions
1985,U,St. Elmo's Fire
2018,Not Rated,Ghostland
2021,16,Army of Thieves
2018,Not Rated,Gon-ji-am
2008,A,Death Race
2018,U,The Grinch
1997,UA,Inventing the Abbotts
2009,13,He's Just Not That Into You
2022,Not Rated,Deadstream
